#HI4PI cube SIN_,channel,square l, square b, angle, size
# angle: angle of east side of box compared to the line pointing towards the galactic north (measured increasing to the east) in degrees
# size: approximate length of one side of square in degrees
H05,495,137.69961,52.975035,20,4.5
H05,496,137.69961,52.975035,20,4.5
H05,497,137.69961,52.975035,20,4.5
H05,502,137.69961,52.975035,20,4.5
H05,503,137.69961,52.975035,20,4.5
H05,504,137.69961,52.975035,20,4.5
H05,505,137.69961,52.975035,20,4.5
H05,506,137.69961,52.975035,20,4.5
H05,507,137.69961,52.975035,20,4.5
H05,508,137.69961,52.975035,20,4.5
H05,509,137.69961,52.975035,20,4.5
H05,510,137.69961,52.975035,20,4.5
H05,511,137.69961,52.975035,20,4.5
H05,512,137.69961,52.975035,20,4.5
H05,513,137.69961,52.975035,20,4.5
H05,514,137.69961,52.975035,20,4.5
H05,497,132.2967,59.414343,20,4.5
H05,498,132.2967,59.414343,20,4.5
H05,499,132.2967,59.414343,20,4.5
H05,500,132.2967,59.414343,20,4.5
H05,501,132.2967,59.414343,20,4.5
H05,502,132.2967,59.414343,20,4.5
H05,503,132.2967,59.414343,20,4.5
H05,507,132.2967,59.414343,20,4.5
H05,508,132.2967,59.414343,20,4.5
H05,509,132.2967,59.414343,20,4.5
H05,510,132.2967,59.414343,20,4.5
H05,511,132.2967,59.414343,20,4.5
H05,512,132.2967,59.414343,20,4.5
H05,552,129.97149,55.077066,20,4.5
H05,553,129.97149,55.077066,20,4.5
H05,554,129.97149,55.077066,20,4.5
H05,555,129.97149,55.077066,20,4.5
H05,522,125.33555,65.153494,10,4.5
H05,521,125.33555,65.153494,10,4.5
H05,520,125.33555,65.153494,10,4.5
H05,519,125.33555,65.153494,10,4.5
H05,518,125.33555,65.153494,10,4.5
H05,517,125.33555,65.153494,10,4.5
H05,516,125.33555,65.153494,10,4.5
H05,515,125.33555,65.153494,10,4.5
H05,514,125.33555,65.153494,10,4.5
H05,514,135.85121,63.859622,20,4.5
H05,515,135.85121,63.859622,20,4.5
H05,516,135.85121,63.859622,20,4.5
H05,517,135.85121,63.859622,20,4.5
H05,518,135.85121,63.859622,20,4.5
H05,519,135.85121,63.859622,20,4.5
H05,520,135.85121,63.859622,20,4.5
H05,487,148.48164,53.874701,20,4.5
H05,488,148.48164,53.874701,20,4.5
H05,489,148.48164,53.874701,20,4.5
H05,490,148.48164,53.874701,20,4.5
H05,518,109.21632,69.138644,0,4.5
H05,519,109.21632,69.138644,0,4.5
H05,520,109.21632,69.138644,0,4.5
H06,488,162.57145,50.580104,70,4.5
H06,489,162.57145,50.580104,70,4.5
H06,490,162.57145,50.580104,70,4.5
H06,488,149.66522,54.534148,70,4.5
H06,489,149.66522,54.534148,70,4.5
H06,490,149.66522,54.534148,70,4.5
H06,493,160.88432,69.228588,70,4.5
H06,494,160.88432,69.228588,70,4.5
H06,502,149.66522,54.534148,70,4.5
H06,503,149.66522,54.534148,70,4.5
H06,504,149.66522,54.534148,70,4.5
H06,505,149.66522,54.534148,70,4.5
H06,506,149.66522,54.534148,70,4.5
H06,507,149.66522,54.534148,70,4.5
H06,508,149.66522,54.534148,70,4.5
H06,509,149.66522,54.534148,70,4.5
H06,510,149.66522,54.534148,70,4.5
H06,511,149.66522,54.534148,70,4.5
H06,514,149.66522,54.534148,70,4.5
H06,515,149.66522,54.534148,70,4.5
H06,491,175.94922,71.007745,50,2.5
H06,492,175.94922,71.007745,50,2.5
H06,496,175.94922,71.007745,50,2.5
H06,497,175.94922,71.007745,50,2.5
H06,498,175.94922,71.007745,50,2.5
H06,499,175.94922,71.007745,50,2.5
H06,500,175.94922,71.007745,50,2.5
H06,501,175.94922,71.007745,50,2.5
H06,505,175.94922,71.007745,50,2.5
H06,506,175.94922,71.007745,50,2.5
H06,507,175.94922,71.007745,50,2.5
H06,508,175.94922,71.007745,50,2.5
H06,509,175.94922,71.007745,50,2.5
H06,510,175.94922,71.007745,50,2.5
H06,511,175.94922,71.007745,50,2.5
H06,512,175.94922,71.007745,50,2.5
H06,513,175.94922,71.007745,50,2.5
H06,514,175.94922,71.007745,50,2.5
H06,515,175.94922,71.007745,50,2.5
H06,516,175.94922,71.007745,50,2.5
H06,517,175.94922,71.007745,50,2.5
H06,518,175.94922,71.007745,50,2.5
H06,519,175.94922,71.007745,50,2.5
H07,511,177.06169,70.840363,70,2.5
H07,512,177.06169,70.840363,70,2.5
H07,513,177.06169,70.840363,70,2.5
H07,514,177.06169,70.840363,70,2.5
H07,515,177.06169,70.840363,70,2.5
H07,516,177.06169,70.840363,70,2.5
H07,517,177.06169,70.840363,70,2.5
H07,518,177.06169,70.840363,70,2.5
H07,511,190.06626,72.785554,70,2.5
H09,543,246.54649,51.562974,40,5.0
H09,544,246.54649,51.562974,40,5.0
H09,545,246.54649,51.562974,40,5.0
H09,546,246.54649,51.562974,40,5.0
H09,545,251.82383,54.724314,40,5.0
H09,546,251.82383,54.724314,40,5.0
H09,547,251.82383,54.724314,40,5.0
H09,821,253.95440,56.087579,40,4.5
H11,153,330.70796,68.242275,15,4.5
H11,154,335.04631,61.901952,15,4.5
H11,500,325.30946,63.969063,15,4.5
H11,501,325.30946,63.969063,15,4.5
H11,502,325.30946,63.969063,15,4.5
H11,503,325.30946,63.969063,15,4.5
H11,504,325.30946,63.969063,15,4.5
H11,505,325.30946,63.969063,15,4.5
H11,506,325.30946,63.969063,15,4.5
H11,507,325.30946,63.969063,15,4.5
H11,508,325.30946,63.969063,15,4.5
H11,509,325.30946,63.969063,15,4.5
H11,500,330.70796,68.242275,15,4.5
H11,501,330.70796,68.242275,15,4.5
H11,502,330.70796,68.242275,15,4.5
H11,503,330.70796,68.242275,15,4.5
H11,504,330.70796,68.242275,15,4.5
H11,505,330.70796,68.242275,15,4.5
H11,506,330.70796,68.242275,15,4.5
H11,507,330.70796,68.242275,15,4.5
H11,508,330.70796,68.242275,15,4.5
H11,509,330.70796,68.242275,15,4.5
H11,558,291.19742,64.147323,15,2.5
H11,559,291.19742,64.147323,15,2.5
H12,83,350.95583,55.410494,30,4.5
H12,153,331.56502,68.518199,30,4.5
H12,154,335.46650,61.406276,30,4.5
H12,494,350.08015,63.147658,30,4.5
H12,495,350.08015,63.147658,30,4.5
H12,496,350.08015,63.147658,30,4.5
H12,497,350.08015,63.147658,30,4.5
H12,498,350.08015,63.147658,30,4.5
H12,499,350.08015,63.147658,30,4.5
H12,500,350.08015,63.147658,30,4.5
H12,501,350.08015,63.147658,30,4.5
H12,502,350.08015,63.147658,30,4.5
H12,503,350.08015,63.147658,30,4.5
H12,504,350.08015,63.147658,30,4.5
H12,505,350.08015,63.147658,30,4.5
H12,506,350.08015,63.147658,30,4.5
H12,507,350.08015,63.147658,30,4.5
H12,508,350.08015,63.147658,30,4.5
H12,557,350.08015,63.147658,30,4.5
H12,558,350.08015,63.147658,30,4.5
H12,559,350.08015,63.147658,30,4.5
H12,560,350.08015,63.147658,30,4.5
H12,561,350.08015,63.147658,30,4.5
H12,562,350.08015,63.147658,30,4.5
H12,563,350.08015,63.147658,30,4.5
H12,508,350.08015,63.147658,30,4.5
H12,500,9.8561009,69.227084,30,4.5
H12,501,9.8561009,69.227084,30,4.5
H12,502,9.8561009,69.227084,30,4.5
H12,503,9.8561009,69.227084,30,4.5
H12,504,9.8561009,69.227084,30,4.5
H12,500,330.56594,68.611997,30,4.5
H12,501,330.56594,68.611997,30,4.5
H12,502,330.56594,68.611997,30,4.5
H12,503,330.56594,68.611997,30,4.5
H12,504,330.56594,68.611997,30,4.5
H12,505,330.56594,68.611997,30,4.5
H12,506,330.56594,68.611997,30,4.5
H12,507,330.56594,68.611997,30,4.5
H12,500,326.95289,64.261250,30,4.5
H12,501,326.95289,64.261250,30,4.5
H12,502,326.95289,64.261250,30,4.5
H12,503,326.95289,64.261250,30,4.5
